36337612,Mar/17/2018 01:06,daleks,779C - Dishonest Sellers,Python 3,Accepted,280 ms,24200 KB,2018-03-17 01:06:00
25368393,Mar/09/2017 23:24,tanish_gupta,779C - Dishonest Sellers,GNU C++14,Accepted,530 ms,3400 KB,2017-03-09 23:24:00
25061617,Feb/26/2017 20:58,pranet,779C - Dishonest Sellers,PyPy 3,Accepted,1403 ms,51200 KB,2017-02-26 20:58:00
31501065,Oct/19/2017 11:15,wewakeprasad,779C - Dishonest Sellers,GNU C++14,Accepted,561 ms,3500 KB,2017-10-19 11:15:00
72135548,Mar/01/2020 09:21,tflave,779C - Dishonest Sellers,PyPy 3,Accepted,607 ms,21100 KB,2020-03-01 09:21:00
35471762,Feb/19/2018 16:31,ekaterine2017,779C - Dishonest Sellers,GNU C++11,Accepted,686 ms,2800 KB,2018-02-19 16:31:00
55328745,Jun/09/2019 12:40,avid123,779C - Dishonest Sellers,GNU C++17,Accepted,483 ms,2300 KB,2019-06-09 12:40:00
25046597,Feb/26/2017 12:46,monc,779C - Dishonest Sellers,Python 3,Accepted,1013 ms,29300 KB,2017-02-26 12:46:00
30921579,Oct/01/2017 23:06,z3r0dmg,779C - Dishonest Sellers,GNU C++14,Accepted,109 ms,2300 KB,2017-10-01 23:06:00
58313657,Aug/05/2019 04:37,jacky0705,779C - Dishonest Sellers,GNU C++11,Accepted,608 ms,2400 KB,2019-08-05 04:37:00
25060189,Feb/26/2017 19:44,yudgin070707#,779C - Dishonest Sellers,PyPy 3,Accepted,1388 ms,39300 KB,2017-02-26 19:44:00
25093185,Feb/28/2017 08:27,peteryang970922,779C - Dishonest Sellers,Python 3,Accepted,358 ms,22200 KB,2017-02-28 08:27:00
25039329,Feb/26/2017 11:45,zjmfrank2012,779C - Dishonest Sellers,GNU C++,Accepted,670 ms,4400 KB,2017-02-26 11:45:00
25042259,Feb/26/2017 12:05,AntonD,779C - Dishonest Sellers,GNU C++11,Accepted,685 ms,5200 KB,2017-02-26 12:05:00
58105529,Aug/01/2019 06:59,luogu_bot4,779C - Dishonest Sellers,GNU C++11,Accepted,78 ms,1600 KB,2019-08-01 06:59:00
58105617,Aug/01/2019 07:03,Danewol,779C - Dishonest Sellers,GNU C++11,Accepted,78 ms,1600 KB,2019-08-01 07:03:00
25797642,Mar/25/2017 15:33,kkkmmm123,779C - Dishonest Sellers,GNU C++14,Accepted,577 ms,9700 KB,2017-03-25 15:33:00
25061658,Feb/26/2017 20:59,pranet,779C - Dishonest Sellers,PyPy 3,Accepted,1544 ms,54100 KB,2017-02-26 20:59:00
28972181,Jul/29/2017 17:16,marshal4world,779C - Dishonest Sellers,GNU C++14,Accepted,546 ms,5000 KB,2017-07-29 17:16:00
56457320,Jul/03/2019 07:54,luogu_bot3,779C - Dishonest Sellers,GNU C++11,Accepted,857 ms,4700 KB,2019-07-03 07:54:00
25064052,Feb/26/2017 23:07,ageofwar,779C - Dishonest Sellers,GNU C++14,Accepted,514 ms,3400 KB,2017-02-26 23:07:00
25084551,Feb/27/2017 20:37,paras_gupta,779C - Dishonest Sellers,GNU C++11,Accepted,249 ms,3600 KB,2017-02-27 20:37:00
49388212,Feb/03/2019 11:12,twinArmageddons,779C - Dishonest Sellers,GNU C++17,Accepted,468 ms,1000 KB,2019-02-03 11:12:00
43464407,Sep/26/2018 21:13,aksh02#,779C - Dishonest Sellers,Python 3,Accepted,748 ms,28400 KB,2018-09-26 21:13:00
25042090,Feb/26/2017 12:04,JAYPEE,779C - Dishonest Sellers,Python 2,Accepted,904 ms,31900 KB,2017-02-26 12:04:00
25415700,Mar/11/2017 21:44,senwil,779C - Dishonest Sellers,Python 3,Accepted,530 ms,28400 KB,2017-03-11 21:44:00
26813584,May/03/2017 09:14,MSTXI,779C - Dishonest Sellers,GNU C++14,Accepted,514 ms,10100 KB,2017-05-03 09:14:00
56161593,Jun/27/2019 15:33,luogu_bot5,779C - Dishonest Sellers,GNU C++11,Accepted,608 ms,2400 KB,2019-06-27 15:33:00
56161647,Jun/27/2019 15:34,luogu_bot1,779C - Dishonest Sellers,GNU C++11,Accepted,608 ms,2400 KB,2019-06-27 15:34:00
56161658,Jun/27/2019 15:34,luogu_bot4,779C - Dishonest Sellers,GNU C++11,Accepted,608 ms,2400 KB,2019-06-27 15:34:00
25032820,Feb/26/2017 11:16,poietes,779C - Dishonest Sellers,Python 2,Accepted,390 ms,24600 KB,2017-02-26 11:16:00
57371056,Jul/20/2019 13:56,knightmare_guran,779C - Dishonest Sellers,GNU C++14,Accepted,483 ms,4700 KB,2019-07-20 13:56:00
25128423,Mar/01/2017 19:13,kanak15140#,779C - Dishonest Sellers,GNU C++,Accepted,670 ms,4400 KB,2017-03-01 19:13:00
36869511,Apr/02/2018 09:18,vjudge4,779C - Dishonest Sellers,GNU C++14,Accepted,530 ms,5600 KB,2018-04-02 09:18:00
25047038,Feb/26/2017 12:51,harrypotter0,779C - Dishonest Sellers,GNU C++11,Accepted,686 ms,6700 KB,2017-02-26 12:51:00
26609595,Apr/23/2017 19:40,ZYehia,779C - Dishonest Sellers,GNU C++11,Accepted,670 ms,4400 KB,2017-04-23 19:40:00
52021264,Mar/30/2019 15:51,weirdflex,779C - Dishonest Sellers,Python 3,Accepted,670 ms,24800 KB,2019-03-30 15:51:00
25037417,Feb/26/2017 11:35,BleedingEdge,779C - Dishonest Sellers,PyPy 2,Accepted,545 ms,42300 KB,2017-02-26 11:35:00
25046151,Feb/26/2017 12:41,Example007,779C - Dishonest Sellers,GNU C++,Accepted,717 ms,5200 KB,2017-02-26 12:41:00
25725525,Mar/23/2017 06:54,Div1.5,779C - Dishonest Sellers,Python 2,Accepted,686 ms,30500 KB,2017-03-23 06:54:00
72109280,Feb/29/2020 19:20,andreinova,779C - Dishonest Sellers,GNU C++14,Accepted,483 ms,1600 KB,2020-02-29 19:20:00
25037132,Feb/26/2017 11:34,jrying,779C - Dishonest Sellers,Python 2,Accepted,483 ms,21300 KB,2017-02-26 11:34:00
25042714,Feb/26/2017 12:08,Aiky,779C - Dishonest Sellers,GNU C++14,Accepted,109 ms,2700 KB,2017-02-26 12:08:00
25043712,Feb/26/2017 12:17,peetttiiii,779C - Dishonest Sellers,Python 2,Accepted,561 ms,22800 KB,2017-02-26 12:17:00
25183461,Mar/03/2017 20:57,yan_lazy,779C - Dishonest Sellers,GNU C++,Accepted,670 ms,3600 KB,2017-03-03 20:57:00
66900214,Dec/15/2019 08:04,last_rank,779C - Dishonest Sellers,GNU C++14,Accepted,483 ms,1600 KB,2019-12-15 08:04:00
25039382,Feb/26/2017 11:46,Rzepa,779C - Dishonest Sellers,GNU C++,Accepted,78 ms,6000 KB,2017-02-26 11:46:00
25040849,Feb/26/2017 11:55,rithp9,779C - Dishonest Sellers,Python 3,Accepted,545 ms,31700 KB,2017-02-26 11:55:00
25345680,Mar/08/2017 19:36,olife.97,779C - Dishonest Sellers,GNU C++11,Accepted,685 ms,4400 KB,2017-03-08 19:36:00
25409960,Mar/11/2017 18:23,st97,779C - Dishonest Sellers,GNU C++,Accepted,733 ms,4400 KB,2017-03-11 18:23:00
53056851,Apr/20/2019 21:03,chauhain,779C - Dishonest Sellers,Python 3,Accepted,732 ms,32500 KB,2019-04-20 21:03:00
25273827,Mar/05/2017 23:44,DimaTC,779C - Dishonest Sellers,GNU C++,Accepted,857 ms,3600 KB,2017-03-05 23:44:00
36761164,Mar/31/2018 04:06,xiaowuc1,779C - Dishonest Sellers,PyPy 2,Accepted,483 ms,39400 KB,2018-03-31 04:06:00
56072968,Jun/26/2019 14:26,kalyan_yadav_,779C - Dishonest Sellers,Python 3,Accepted,545 ms,24100 KB,2019-06-26 14:26:00
25049764,Feb/26/2017 13:54,adwin_,779C - Dishonest Sellers,Python 3,Accepted,436 ms,22900 KB,2017-02-26 13:54:00
25051186,Feb/26/2017 14:21,hitman623,779C - Dishonest Sellers,GNU C++14,Accepted,529 ms,4200 KB,2017-02-26 14:21:00
25067251,Feb/27/2017 04:28,JustAni#,779C - Dishonest Sellers,Python 3,Accepted,436 ms,22000 KB,2017-02-27 04:28:00
