2062191,Aug/28/2012 09:44,xlk,219B - Special Offer! Super Price 999 Bourles!,Ruby,Accepted,130 ms,5600 KB,2012-08-28 09:44:00
18709766,Jun/24/2016 23:48,codejk,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2016-06-24 23:48:00
24623169,Feb/13/2017 10:31,vjudge1,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,2000 KB,2017-02-13 10:31:00
3090858,Feb/10/2013 18:55,urusant,219B - Special Offer! Super Price 999 Bourles!,MS C++,Accepted,15 ms,0 KB,2013-02-10 18:55:00
5286537,Nov/28/2013 16:53,vjudge4,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2013-11-28 16:53:00
34916871,Feb/04/2018 10:34,sdibt1,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,1800 KB,2018-02-04 10:34:00
56510662,Jul/04/2019 13:12,youssef93,219B - Special Offer! Super Price 999 Bourles!,Python 2,Accepted,374 ms,0 KB,2019-07-04 13:12:00
2881363,Jan/07/2013 23:38,m1_k3,219B - Special Offer! Super Price 999 Bourles!,Python 2,Accepted,62 ms,0 KB,2013-01-07 23:38:00
18700274,Jun/24/2016 15:07,GautamKumarSharma,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2016-06-24 15:07:00
40588476,Jul/20/2018 22:49,Yasseenkamel,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,62 ms,0 KB,2018-07-20 22:49:00
40863308,Jul/28/2018 03:56,AmrElShabacy,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2018-07-28 03:56:00
2223873,Sep/20/2012 18:54,lastland,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,31 ms,1500 KB,2012-09-20 18:54:00
4229826,Aug/05/2013 00:17,shubhangipriya,219B - Special Offer! Super Price 999 Bourles!,GNU C,Accepted,62 ms,0 KB,2013-08-05 00:17:00
2061738,Aug/28/2012 07:13,coral_peng,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,1500 KB,2012-08-28 07:13:00
2060310,Aug/27/2012 23:15,hirokazu1020,219B - Special Offer! Super Price 999 Bourles!,MS C++,Accepted,30 ms,1500 KB,2012-08-27 23:15:00
57631610,Jul/24/2019 11:56,jeevangkr37,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2019-07-24 11:56:00
75324784,Apr/03/2020 11:53,ram_bharose_jindgi_bitao,219B - Special Offer! Super Price 999 Bourles!,PyPy 3,Accepted,312 ms,0 KB,2020-04-03 11:53:00
3399771,Mar/24/2013 15:25,vjudge3,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,15 ms,0 KB,2013-03-24 15:25:00
25454247,Mar/13/2017 16:04,vjudge3,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,1800 KB,2017-03-13 16:04:00
27099907,May/14/2017 06:25,dragonslayerintraining,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,30 ms,0 KB,2017-05-14 06:25:00
33895275,Jan/04/2018 05:32,chetan52720,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,30 ms,1900 KB,2018-01-04 05:32:00
2825829,Dec/25/2012 17:49,rhy,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,15 ms,0 KB,2012-12-25 17:49:00
4415669,Sep/06/2013 22:32,Vlad_kv,219B - Special Offer! Super Price 999 Bourles!,MS C++,Accepted,30 ms,0 KB,2013-09-06 22:32:00
12125256,Jul/20/2015 08:00,vjudge2,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,62 ms,0 KB,2015-07-20 08:00:00
35805331,Mar/01/2018 10:55,425106750,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,2000 KB,2018-03-01 10:55:00
2301109,Oct/05/2012 08:27,baezilisK,219B - Special Offer! Super Price 999 Bourles!,GNU C,Accepted,31 ms,0 KB,2012-10-05 08:27:00
2057667,Aug/27/2012 20:45,sukhovy,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,1500 KB,2012-08-27 20:45:00
2064426,Aug/28/2012 19:45,denis_,219B - Special Offer! Super Price 999 Bourles!,FPC,Accepted,30 ms,600 KB,2012-08-28 19:45:00
36982971,Apr/05/2018 01:22,chickencode,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,60 ms,3400 KB,2018-04-05 01:22:00
78936921,May/04/2020 09:05,vjudge5,219B - Special Offer! Super Price 999 Bourles!,GNU C++17 (64),Accepted,62 ms,0 KB,2020-05-04 09:05:00
2055235,Aug/27/2012 20:05,Filins,219B - Special Offer! Super Price 999 Bourles!,MS C++,Accepted,30 ms,1500 KB,2012-08-27 20:05:00
2163330,Sep/13/2012 17:02,kesongyu,219B - Special Offer! Super Price 999 Bourles!,MS C++,Accepted,31 ms,1500 KB,2012-09-13 17:02:00
36427297,Mar/20/2018 10:59,MgDuck#,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,3300 KB,2018-03-20 10:59:00
8171493,Oct/11/2014 10:18,devroid,219B - Special Offer! Super Price 999 Bourles!,Go,Accepted,122 ms,100 KB,2014-10-11 10:18:00
2064665,Aug/28/2012 21:14,vlad107,219B - Special Offer! Super Price 999 Bourles!,Delphi,Accepted,30 ms,8700 KB,2012-08-28 21:14:00
5273013,Nov/27/2013 18:06,vjudge5,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2013-11-27 18:06:00
22149574,Nov/10/2016 17:06,_V_,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,30 ms,0 KB,2016-11-10 17:06:00
2061685,Aug/28/2012 06:52,lentty,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,1500 KB,2012-08-28 06:52:00
5287849,Nov/28/2013 19:46,vjudge2,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2013-11-28 19:46:00
16341886,Feb/26/2016 10:57,_ShadowSong,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2016-02-26 10:57:00
2061482,Aug/28/2012 05:46,cojna,219B - Special Offer! Super Price 999 Bourles!,Haskell,Accepted,30 ms,2100 KB,2012-08-28 05:46:00
2071133,Aug/31/2012 13:21,Trish,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,800 KB,2012-08-31 13:21:00
2071514,Aug/31/2012 15:35,mrpmt,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,700 KB,2012-08-31 15:35:00
3292719,Mar/12/2013 07:55,Keerill,219B - Special Offer! Super Price 999 Bourles!,FPC,Accepted,15 ms,0 KB,2013-03-12 07:55:00
4312176,Aug/19/2013 16:05,Rusu,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2013-08-19 16:05:00
14021785,Nov/02/2015 14:40,loboelita,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2015-11-02 14:40:00
68996570,Jan/17/2020 20:38,suypa99,219B - Special Offer! Super Price 999 Bourles!,GNU C++17,Accepted,62 ms,0 KB,2020-01-17 20:38:00
19600837,Aug/03/2016 18:34,Fady_Ahdy8,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2016-08-03 18:34:00
39018169,Jun/07/2018 14:46,shubhammishra,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2018-06-07 14:46:00
16958785,Mar/26/2016 18:53,EngyEbrahim,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,2200 KB,2016-03-26 18:53:00
27456241,May/31/2017 00:57,mrwhite,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,30 ms,0 KB,2017-05-31 00:57:00
79400151,May/08/2020 20:02,PaltineanuRares,219B - Special Offer! Super Price 999 Bourles!,GNU C++17,Accepted,92 ms,3600 KB,2020-05-08 20:02:00
8510907,Nov/01/2014 14:03,rsFalse,219B - Special Offer! Super Price 999 Bourles!,Perl,Accepted,184 ms,2900 KB,2014-11-01 14:03:00
5612801,Jan/04/2014 01:50,tkostek#,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2014-01-04 01:50:00
2064217,Aug/28/2012 18:37,cs1003,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,800 KB,2012-08-28 18:37:00
8976705,Dec/04/2014 07:44,vjudge5,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,62 ms,0 KB,2014-12-04 07:44:00
15229271,Jan/07/2016 22:21,ryse,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2016-01-07 22:21:00
2479363,Nov/01/2012 17:21,wccy,219B - Special Offer! Super Price 999 Bourles!,GNU C++0x,Accepted,31 ms,0 KB,2012-11-01 17:21:00
3695607,May/09/2013 13:44,All.novv,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,31 ms,0 KB,2013-05-09 13:44:00
76071096,Apr/10/2020 11:49,alpha_2000,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2020-04-10 11:49:00
77215856,Apr/18/2020 21:53,varnatiwari456,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2020-04-18 21:53:00
2054023,Aug/27/2012 19:48,FKint,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,1500 KB,2012-08-27 19:48:00
5916803,Mar/03/2014 20:25,Amelius,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2014-03-03 20:25:00
78016872,Apr/25/2020 14:06,Hitanshi27,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2020-04-25 14:06:00
3817455,Jun/03/2013 07:04,yummy,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,15 ms,0 KB,2013-06-03 07:04:00
27283040,May/22/2017 14:45,Ownography,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,30 ms,0 KB,2017-05-22 14:45:00
47106343,Dec/16/2018 16:06,shivam2303,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2018-12-16 16:06:00
2072092,Aug/31/2012 18:58,rajatraj07,219B - Special Offer! Super Price 999 Bourles!,GNU C,Accepted,30 ms,700 KB,2012-08-31 18:58:00
43936547,Oct/07/2018 12:13,vaibhavdixit02,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,300 KB,2018-10-07 12:13:00
8897570,Nov/30/2014 14:29,vjudge4,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,62 ms,0 KB,2014-11-30 14:29:00
29932910,Aug/31/2017 00:58,farukkastamonuda,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2017-08-31 00:58:00
43105663,Sep/20/2018 11:28,shaazzzz,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2018-09-20 11:28:00
9331143,Dec/31/2014 10:14,vjudge3,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,62 ms,0 KB,2014-12-31 10:14:00
12125687,Jul/20/2015 09:03,vjudge2,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2015-07-20 09:03:00
2070263,Aug/31/2012 00:10,iinoyb,219B - Special Offer! Super Price 999 Bourles!,MS C++,Accepted,30 ms,700 KB,2012-08-31 00:10:00
20540303,Sep/12/2016 00:19,rainboy,219B - Special Offer! Super Price 999 Bourles!,GNU C,Accepted,62 ms,0 KB,2016-09-12 00:19:00
38347757,May/17/2018 15:03,I_love_Icecreams,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2018-05-17 15:03:00
