337919,Mar/15/2011 18:00,urutom,67B - Restoration of the Permutation,Ruby,Accepted,170 ms,4000 KB,2011-03-15 18:00:00
21896636,Oct/30/2016 20:15,lys1280023,67B - Restoration of the Permutation,GNU C++,Accepted,62 ms,0 KB,2016-10-30 20:15:00
4317941,Aug/21/2013 06:40,bnuvjudge2,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,0 KB,2013-08-21 06:40:00
7401732,Aug/09/2014 10:12,vjudge2,67B - Restoration of the Permutation,GNU C++,Accepted,62 ms,0 KB,2014-08-09 10:12:00
20653441,Sep/16/2016 09:02,proofbycontradiction,67B - Restoration of the Permutation,GNU C++11,Accepted,30 ms,0 KB,2016-09-16 09:02:00
54262847,May/17/2019 06:30,Sidiq_HA,67B - Restoration of the Permutation,GNU C++14,Accepted,154 ms,1100 KB,2019-05-17 06:30:00
337806,Mar/15/2011 15:11,Cenadar,67B - Restoration of the Permutation,Delphi,Accepted,30 ms,900 KB,2011-03-15 15:11:00
4317846,Aug/21/2013 05:03,vjudge2,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,0 KB,2013-08-21 05:03:00
40735503,Jul/25/2018 12:44,papinub2,67B - Restoration of the Permutation,GNU C++14,Accepted,62 ms,200 KB,2018-07-25 12:44:00
3515964,Apr/12/2013 09:08,vjudge4,67B - Restoration of the Permutation,GNU C++,Accepted,15 ms,0 KB,2013-04-12 09:08:00
61110553,Sep/23/2019 14:05,luogu_bot3,67B - Restoration of the Permutation,GNU C++11,Accepted,62 ms,0 KB,2019-09-23 14:05:00
64567243,Nov/09/2019 11:03,luogu_bot4,67B - Restoration of the Permutation,GNU C++11,Accepted,62 ms,0 KB,2019-11-09 11:03:00
9770265,Feb/08/2015 13:42,bnuvjudge,67B - Restoration of the Permutation,GNU C++,Accepted,60 ms,0 KB,2015-02-08 13:42:00
334487,Mar/13/2011 20:57,toshima,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 20:57:00
333787,Mar/13/2011 20:22,Chmel_Tolstiy,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 20:22:00
18830402,Jun/30/2016 23:31,asvikr,67B - Restoration of the Permutation,GNU C++11,Accepted,30 ms,0 KB,2016-06-30 23:31:00
64497773,Nov/08/2019 04:38,IngaleAnkur10,67B - Restoration of the Permutation,Python 3,Accepted,590 ms,400 KB,2019-11-08 04:38:00
29641425,Aug/21/2017 13:42,Jayzhang,67B - Restoration of the Permutation,GNU C++11,Accepted,60 ms,0 KB,2017-08-21 13:42:00
334767,Mar/13/2011 21:13,xiaoyoulei,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-13 21:13:00
335370,Mar/13/2011 21:54,delta,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 21:54:00
4319086,Aug/21/2013 12:41,bnuvjudge2,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,0 KB,2013-08-21 12:41:00
333643,Mar/13/2011 20:16,voover,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 20:16:00
20028164,Aug/21/2016 17:03,vjudge5,67B - Restoration of the Permutation,GNU C++,Accepted,60 ms,1800 KB,2016-08-21 17:03:00
334173,Mar/13/2011 20:40,* Vaness,67B - Restoration of the Permutation,MS C++,Accepted,50 ms,1400 KB,2011-03-13 20:40:00
378337,Apr/12/2011 04:29,sggutier,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-04-12 04:29:00
31670757,Oct/24/2017 09:26,vjudge3,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,2000 KB,2017-10-24 09:26:00
334333,Mar/13/2011 20:49,Proscriptus,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-13 20:49:00
70804866,Feb/11/2020 21:04,2019030002085,67B - Restoration of the Permutation,GNU C++17,Accepted,30 ms,0 KB,2020-02-11 21:04:00
5804027,Jan/25/2014 11:57,atubo,67B - Restoration of the Permutation,Java 6,Accepted,278 ms,400 KB,2014-01-25 11:57:00
2870320,Jan/03/2013 23:11,AstroConjecture,67B - Restoration of the Permutation,GNU C++,Accepted,15 ms,0 KB,2013-01-03 23:11:00
333501,Mar/13/2011 20:11,code6,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 20:11:00
4312195,Aug/19/2013 16:10,Misha100896,67B - Restoration of the Permutation,Delphi,Accepted,624 ms,0 KB,2013-08-19 16:10:00
334566,Mar/13/2011 21:02,* kzr.buet08,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 21:02:00
336683,Mar/14/2011 12:00,Yan_Kurganov_Kovrov_STA,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-14 12:00:00
40735477,Jul/25/2018 12:43,papinub2,67B - Restoration of the Permutation,GNU C++14,Accepted,60 ms,100 KB,2018-07-25 12:43:00
18860294,Jul/03/2016 01:53,as_your_wish,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,0 KB,2016-07-03 01:53:00
56421975,Jul/02/2019 10:47,Clockwise,67B - Restoration of the Permutation,GNU C++14,Accepted,62 ms,0 KB,2019-07-02 10:47:00
31670763,Oct/24/2017 09:26,wangcwc,67B - Restoration of the Permutation,GNU C++11,Accepted,30 ms,2000 KB,2017-10-24 09:26:00
334827,Mar/13/2011 21:16,I_love_Tanya_Romanova,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-13 21:16:00
335647,Mar/13/2011 22:17,stostap,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-13 22:17:00
1948063,Jul/28/2012 22:16,Williamacm#,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2012-07-28 22:16:00
333707,Mar/13/2011 20:19,poopi,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-13 20:19:00
333213,Mar/13/2011 19:59,userresu,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-03-13 19:59:00
334512,Mar/13/2011 20:59,riad,67B - Restoration of the Permutation,GNU C++,Accepted,10 ms,1400 KB,2011-03-13 20:59:00
40992993,Jul/31/2018 04:41,ReaLNero1,67B - Restoration of the Permutation,GNU C++,Accepted,62 ms,0 KB,2018-07-31 04:41:00
19384541,Jul/24/2016 16:21,vjudge1,67B - Restoration of the Permutation,GNU C++11,Accepted,62 ms,0 KB,2016-07-24 16:21:00
337993,Mar/15/2011 19:54,rockaustin2k6,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-15 19:54:00
49381363,Feb/03/2019 05:11,yuhta,67B - Restoration of the Permutation,GNU C++17,Accepted,62 ms,400 KB,2019-02-03 05:11:00
1126999,Jan/30/2012 17:55,vjudge1,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2012-01-30 17:55:00
19378057,Jul/24/2016 09:45,vjudge3,67B - Restoration of the Permutation,GNU C++11,Accepted,30 ms,0 KB,2016-07-24 09:45:00
335086,Mar/13/2011 21:33,* LGM,67B - Restoration of the Permutation,GNU C++,Accepted,190 ms,1400 KB,2011-03-13 21:33:00
26821990,May/03/2017 19:21,dby,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,2000 KB,2017-05-03 19:21:00
1126832,Jan/30/2012 16:21,vjudge3,67B - Restoration of the Permutation,GNU C++,Accepted,270 ms,1400 KB,2012-01-30 16:21:00
333044,Mar/13/2011 19:51,Aleksander,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-13 19:51:00
347859,Mar/22/2011 15:13,helihui,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-03-22 15:13:00
67097273,Dec/17/2019 18:51,SsSsoOoOoOo,67B - Restoration of the Permutation,GNU C++11,Accepted,62 ms,800 KB,2019-12-17 18:51:00
