status,problem,source
213,213A - Game,"f  =   lambda :   [ int ( q )   -   1   for  q  in  input (). split ()] def  g ():      for  i  in  p :          if  h [ i ]   ==  k  and   not  v [ i ]:   return  i   r  =  range ( int ( input ())) t ,  h  =   1e9 ,  f () u  =   [ set ( f ()[ 1 :])   for  i  in  r ]   for  k  in   ( 0 ,   1 ,   2 ):     p  =  list ( r )     d  =   - 1     v  =   [ q . copy ()   for  q  in  u ]        while  p :         i  =  g ()          while  i  !=   None :             d  +=   1             p . remove ( i )              for  q  in  v :  q . discard ( i )             i  =  g ()         k  =   ( k  +   1 )   %   3         d  +=   1       t  =  min ( d ,  t )   print ( t )"
214,214A - System of Equations,"n , m = map ( int , input (). split ()) r = range ( 32 ) print ( sum ( a * a + b - n == a + b * b - m == 0   for  a  in  r  for  b  in  r ))"
215,215A - Bicycle Chain,"i = lambda : list ( map ( int , input (). split ())) i () a = i () i () b = i () l =[ x // y  for  x  in  b  for  y  in  a  if  x % y == 0 ] print ( l . count ( max ( l )))"
216,216A - Tiling with Hexagons,"a , b , c = map ( int , input (). split ()); print (( a + b - 1 )*( c - 1 )+ a * b )"
217,217A - Ice Skating,"n = int ( input ( '' )) r =[- 1   for  i  in  range ( 2005 )] def  f ( v ):      if  r [ v ]< 0 :         r [ v ]= v      if  r [ v ]!= v :         r [ v ]= f ( r [ v ])      return  r [ v ]      for  i  in  range ( n ):     x , y = map ( int , input (). split ())     y += 1000     n -=( r [ x ]>= 0 )+( r [ y ]>= 0 )-( f ( x )== f ( y ))     r [ f ( x )]= f ( y ) print ( n - 1 )"
218,218A - Mountain Scenery,"n , m = map ( int , input (). split ()) l = list ( map ( int , input (). split ())) for  i  in  range ( 1 , 2 * n , 2 ):      if   ( l [ i ]- 1 )> max ( l [ i - 1 ], l [ i + 1 ])   and  m > 0 :         l [ i ]-= 1         m -= 1 print (* l )"
219,219A - k-String,"n = int ( input ()) s = sorted ( input ()) x = s [:: n ]* n if  sorted ( x )== s :      print ( """" . join ( x )) else :      print (- 1 )"
220,220A - Little Elephant and Problem,"n = int ( input ()) a = list ( map ( int , input (). split ())) b = sorted ( a ) print ([ ""NO"" , ""YES"" ][ sum ([ a [ i ]!= b [ i ] for  i  in  range ( n )])< 3 ])"
221,221A - Little Elephant and Function,"n  =  int ( input ()) print ( n ,   * range ( 1 , n ))"
222,222A - Shooshuns and Sequence,"n , k = map ( int , input (). split ()) l = input (). split () while  n  and  l [ n - 1 ]== l [- 1 ]:     n -= 1 print ( n  if  k > n  else   - 1 )"
223,223A - Bracket Sequence,"string  =  list ( input ())   d ,  p  =   [],  set ( range ( len ( string )))   for  j ,  q  in  enumerate ( string ):      if  q  in   '([' :  d . append (( j , q ))      elif  d :         i ,  x  =  d . pop ()          if  x + q  in   '(][)' :  d  =   []          else :  p  -=   { i ,  j }   n ,  s  =   0 ,   '' for  i  in  p :  string [ i ]   =   ' ' for  k  in   """" . join ( string ). split ():      if  k . count ( ""["" )   >  n :         n  =  k . count ( ""["" )         s  =  k   print ( n ,  s )"
224,224A - Parallelepiped,"a , b , c = map ( int , input (). split ()) k =( a * b * c )** 0.5 print ( 4 * int ( k / a + k / b + k / c ))"
225,225A - Dice Tower,"n  =  int ( input ()) x  =  int ( input ()) s  =   { x ,   7 - x }   print (( 'YES' , 'NO' )[ any ( s & set ( map ( int ,  input (). split ()))   for  _  in  range ( n ))])"
226,226A - Flying Saucer Segments,"n , m = map ( int , input (). split ()); print (( pow ( 3 , n , m )- 1 )% m )"
227,227A - Where do I Turn?,"a , b , c , d , e , f = map ( int , input (). split ()+ input (). split ()+ input (). split ()) g =( c - a )*( f - b )-( e - a )*( d - b ) if  g > 0 : print ( 'LEFT' ) elif  g < 0 : print ( 'RIGHT' ) else : print ( 'TOWARDS' )"
228,228A - Is your horseshoe on the other hoof?,print ( 4 - len ({* input (). split ()}))
229,229A - Shifts,"G  =   [[],   [ 1 ],   [ 1 ,   1 ],   [ 1 ,   2 ,   1 ],   [ 1 ,   2 ,   2 ,   1 ],   [ 1 ,   2 ,   3 ,   2 ,   1 ]]   def  g ( k ):      global  G      if  k  <   6 :   return  G [ k ]      return  list ( range ( 1 ,   ( k  +   1 )   //   2   +   1 ))   +  list ( range ( k  //   2 ,   0 ,   - 1 ))   def  f ():     n ,  m  =  map ( int ,  input (). split ())     s ,  p  =   [ 0 ]   *  m ,   [ 0 ]   *  m      for  i  in  range ( n ):         q  =   [ j  for  j ,  x  in  enumerate ( input ())   if  x  ==   '1' ]          if   not  q :   return   - 1         c  =  q . pop ( 0 )         p [ c ],  a  =   0 ,  c  +   1          for  b  in  q :             p [ b ]   =   0              if  b  >  a :  p [ a :  b ]   =  g ( b  -  a )             a  =  b  +   1          if  c  +  m  >  a :             t  =  g ( c  +  m  -  a )             p [ a :   ],  p [:  c ]   =  t [:  m  -  a ],  t [ m  -  a :   ]          for  j ,  x  in  enumerate ( p ):  s [ j ]   +=  x      return  min ( s ) print ( f ())"
230,230A - Dragons,"f = lambda : map ( int , input (). split ()) s , n = f () for  a ,  b  in  sorted ( list ( f ())   for  i  in   ' ' * n ): 	s =( s + b )*( s > a ) print ( 'YNEOS' [ s < 1 :: 2 ])"
231,231A - Team,print ( sum ( input (). count ( '1' )> 1for  x  in   [ 0 ]* int ( input ())))
232,232A - Cycles,"n  ,  k  =   0   ,  int ( input ()) p =[[ '0' ]* 100   for  i  in  range ( 100 )] while  k : 	 for  i  in  range ( n ): 		 if  i > k : 			 break 		p [ n ][ i ]= p [ i ][ n ]= '1' 		k = k - i 	n += 1 print ( n ) for  i  in  range ( n ):   print ( '' . join ( p [ i ][: n ]))"
233,233A - Perfect Permutation,"n = int ( input ()); print (*[[ i  for  i  in  range ( n , 0 ,- 1 )],[- 1 ]][ n & 1 ])"
234,234A - Lefthanders and Righthanders,"i , o = open ( ""input.txt"" , ""r"" ), open ( ""output.txt"" , ""w"" ) n , s = int ( i . readline (). strip ()), i . readline (). strip () for  x  in  range ( n // 2 ):   a , b = x , x + n // 2    if  s [ a ]== 'R' and  s [ b ]== 'L' : a , b = b , a   o . write ( str ( a + 1 )+ "" "" + str ( b + 1 )+ ""\n"" )"
235,235A - LCM Challenge,n  =  int ( input ()) print ( n  if  n  <   3   else   (( n  -   1 )   *   ( n  *   ( n  -   2 )   if  n  &   1   else   ( n  -   3 )   *   ( n  if  n  %   3   else  n  -   2 ))))
236,236A - Boy or Girl,"print ([ ""CHAT WITH HER!"" , ""IGNORE HIM!"" ][ len ({* input ()})% 2 ])"
237,237A - Free Cash,"d ={} for  i  in  range ( int ( input ())): 	s = input () 	d [ s ]= d . get ( s , 0 )+ 1 print ( max ( d . values ()))"
238,238A - Not Wool Sequences,"e = 10 ** 9 + 9 n , m = map ( int , input (). split ()) t = pow ( 2 , m , e ) r = 1 for  i  in  range ( n ): r =( r *( t - i - 1 ))% e print ( r )"
239,239A - Two Bags of Potatoes,"y ,  k ,  n  =  map ( int , input (). split ()) s  =   ' ' . join ( map ( str ,  range ( k - y % k ,  n - y + 1 ,  k )))   print ( s  if  s  else   - 1 )"
240,234D - Cinema,"y ,  k ,  n  =  map ( int , input (). split ()) s  =   ' ' . join ( map ( str ,  range ( k - y % k ,  n - y + 1 ,  k )))   print ( s  if  s  else   - 1 )"
241,241A - Old Peykan,"from  math  import  ceil n ,  k  =  map ( int , input (). split ()) d  =  list ( map ( int , input (). split ())) s  =  list ( map ( int , input (). split ())) fuel  =   0 stor  =   0 time  =   0   for  i  in  range ( n ): 	fuel +=  s [ i ] 	stor  =  max ( stor ,  s [ i ]) 	 if  fuel  >=  d [ i ]: 		fuel -=  d [ i ] 		time +=  d [ i ] 	 else : 		yy  =  ceil (( d [ i ]   -  fuel )   /  stor ) 		time +=  k  *  yy 		time +=  d [ i ] 		fuel +=  stor  *  yy 		fuel -=  d [ i ] print ( time )"
242,242A - Heads or Tails,"x ,  y ,  a ,  b  =  map ( int ,  input (). split ()) C  =   [( i , j )   for  i  in  range ( max ( a , b + 1 ),  x + 1 )   for  j  in  range ( b ,  min ( i , y + 1 ))]   print ( len ( C ))   for  c  in  C :      print (* c )"
243,243A - The Brand New Function,"input (); a , b = set (), set () for  i  in  map ( int , input (). split ()): a ={ i | j  for  j  in  a };  a . add ( i ,); b . update ( a ) print ( len ( b ))"
244,244A - Dividing Orange,"n , k = map ( int , input (). split ()); l = list ( map ( int , input (). split ())) a =[ x  for  x  in  range ( 1 , n * k + 1 )   if  x  not   in  l ] for  x  in  range ( k ): print ( l [ x ],* a [ x *( n - 1 ):( x + 1 )*( n - 1 )])"
245,245A - System Administrator,"a =[ 0 , 0 ] for  _  in   [ 0 ]* int ( input ()):   t , x , y = map ( int , input (). split ())   a [ t - 1 ]+= x - y for  x  in  a :   print ([ 'LIVE' , 'DEAD' ][ x < 0 ])"
246,246A - Buggy Sorting,"n = int ( input ()) print (*[[ 2 , 2 ]+[ 1 ]*( n - 2 ),[- 1 ]][ n < 3 ])"
247,250A - Paper Work,"n = int ( input ()) print (*[[ 2 , 2 ]+[ 1 ]*( n - 2 ),[- 1 ]][ n < 3 ])"
248,248A - Cupboards,"n = int ( input ()) l , r = 0 , 0 for  _  in  range ( n ): 	a , b = map ( int , input (). split ()) 	l += a 	r += b print ( min ( l , n - l )+ min ( r , n - r ))"
250,250A - Paper Work,"n = c = 0 ; r =[] for  x  in  map ( int ,[* open ( 0 )][ 1 ]. split ()):    if  x < 0 :      if  n == 2 :       r +=[ c ]       n = 1       c = 0      else : n += 1   c += 1 r +=[ c ] print ( len ( r )) print (* r )"
251,252C - Points on Line,"n = c = 0 ; r =[] for  x  in  map ( int ,[* open ( 0 )][ 1 ]. split ()):    if  x < 0 :      if  n == 2 :       r +=[ c ]       n = 1       c = 0      else : n += 1   c += 1 r +=[ c ] print ( len ( r )) print (* r )"
252,252A - Little Xor,"n = int ( input ()) a = list ( map ( int , input (). split ())) m = 0 for  i  in  range ( n ): 	k = 0 	 for  j  in  range ( i ,- 1 ,- 1 ): 		k ^= a [ j ] 		 if  k > m : 			m = k print ( m )"
253,253A - Boys and Girls,"f = open ( ""input.txt"" , 'r' ) g = open ( ""output.txt"" , 'w' ) n , m = map ( int , f . readline (). split ()) t = min ( n , m ) g . write ([ 'GB' , 'BG' ][ t == m ]* t + 'G' *( m - t )+ 'B' *( n - t ))"
254,254A - Cards with Numbers,"import  sys sys . stdin  =  open ( ""input.txt"" ,   ""r"" ) sys . stdout  =  open ( ""output.txt"" ,   ""w"" ) n = int ( input ()) d ={} for  x , y  in  enumerate ( input (). split (), 1 ):     d . setdefault ( y ,[]). append ( x ) if  any ( len ( d [ i ])% 2 != 0   for  i  in  d ):      print (- 1 )     exit ( 0 ) for  i  in  d :      print ( ""\n"" . join ( ""{0} {1}"" . format (* k )   for  k  in  zip ( d [ i ][:: 2 ], d [ i ][ 1 :: 2 ])))"
255,255A - Greg's Workout,"input () a =[* map ( int , input (). split ())] print ([ 'chest' , 'biceps' , 'back' ][ max ( 0 , 1 , 2 , key = lambda  i :  sum ( a [ i :: 3 ]))])"
257,257A - Sockets,"n , m , k = input (). split () n = int ( n ) m = int ( m ) k = int ( k ) l  =  list ( map ( int , input (). split ())) l . sort () l . reverse () z = k f = 0 while ( z < m  and  f < n ): 	z += l [ f ]- 1 	f += 1 if ( z >= m ): 	 print ( f ) else : 	 print (- 1 )"
258,258A - Little Elephant and Bits,"n = input () z = max ( 0 , n . find ( '0' )) print ( n [: z ]+ n [ z + 1 :])"
259,259A - Little Elephant and Chess,"exec ( ""print('YNEOS'[any('WW'in a or'BB' in a for a in["" + 8 * ""input(),"" + ""])::2])"" )"
260,260A - Adding Digits,"a , b , n = map ( int , input (). split ()) R =- 1 for  i  in  range ( 10 ): 	r = a * 10 + i 	 if  r % b == 0 : R = str ( r )+ '0' *( n - 1 ) print ( R )"
261,262C - Maxim and Discounts,"a , b , n = map ( int , input (). split ()) R =- 1 for  i  in  range ( 10 ): 	r = a * 10 + i 	 if  r % b == 0 : R = str ( r )+ '0' *( n - 1 ) print ( R )"
262,262A - Roma and Lucky Numbers,i = lambda : input (). split () k = int ( i ()[ 1 ]) print ( sum ( sum ( c  in   '47' for  c  in  x )<= k  for  x  in  i ()))
263,263A - Beautiful Matrix,"l =[ 2 , 1 , 0 , 1 , 2 ] for  i  in  l :  s = input ()   if ""1"" in  s : print ( i + l [ s . find ( ""1"" )// 2 ])"
264,264A - Escape from Stones,"a  =  input () n  =  len ( a ) for  i  in  range ( n ): 	 if   ( a [ i ]   ==   'r' ): 		 print ( i  +   1 ) for  i  in  range ( n  -   1 ,   - 1 ,   - 1 ): 	 if   ( a [ i ]   ==   'l' ): 		 print ( i  +   1 )"
265,265A - Colorful Stones (Simplified Edition),s = input () i = 0 for  c  in  input ():  i +=( s [ i ]   ==  c ) print ( i + 1 )
266,266A - Stones on the Table,"r = input ; r (); c = r (); print ( sum ( p == n  for  p , n  in  zip ( c [ 1 :], c )))"
267,267A - Subtractions,"f = lambda  x , y : f ( y % x , x )+ y // x  if  x  else   0 I = input for  _  in '0' * int ( I ()): a , b = map ( int , I (). split ()); print ( f ( a , b ))"
268,268A - Games,"n = int ( input ()) a , b = zip (*( input (). split () for  _  in   ' ' * n )) print ( sum ( a . count ( x ) for  x  in  b ))"
269,269A - Magical Boxes,"t  =   [ tuple ( map ( int ,  input (). split ()))   for  i  in  range ( int ( input ()))] print (( max ( 2   *  x  +  len ( bin ( y  -   1 ))   for  x ,  y  in  t )   +   1 )   //   2   -   1 )"
270,270A - Fancy Fence,"i = input ; exec ( int ( i ())* 'print(""YNEOS""[360%(180-int(i()))>0::2]);' )"
271,271A - Beautiful Year,s = int ( input ())+ 1 while  len ( set ( str ( s )))< 4 : s += 1 print ( s )
272,272A - Dima and Friends,"n = int ( input ()) a = sum ( map ( int , input (). split ())) print ( sum (( a + i )%( n + 1 )!= 1   for  i  in  range ( 1 , 6 )))"
273,272C - Dima and Staircase,"n = int ( input ()) a = sum ( map ( int , input (). split ())) print ( sum (( a + i )%( n + 1 )!= 1   for  i  in  range ( 1 , 6 )))"
274,275C - k-Multiple Free Set,"n = int ( input ()) a = sum ( map ( int , input (). split ())) print ( sum (( a + i )%( n + 1 )!= 1   for  i  in  range ( 1 , 6 )))"
275,275A - Lights Out,"a =[[ 0 ,* map ( int , input (). split ()), 0 ] for  _  in [ 0 ]* 3 ] a =[[ 0 ]* 5 ,* a ,[ 0 ]* 5 ] dy =[ 0 ,- 1 , 0 , 0 , 1 ] dx =[ 0 , 0 ,- 1 , 1 , 0 ] for  i  in  range ( 1 , 4 ):    print ( '' . join ([ str ( 1 - sum ( a [ i + y ][ j + x ]   for  x , y  in  zip ( dx , dy ))% 2 ) for  j  in  range ( 1 , 4 )]))  "
276,276A - Lunch Rush,"I = lambda : map ( int , input (). split ()) n , k = I () print ( max (( lambda  a , b : a - max ( 0 , b - k ))(* I ()) for  i  in [ 0 ]* n ))"
277,277A - Learning Languages,"I = lambda : list ( map ( int , input (). split ())) n , m = I () r = 0 t =[] for  _  in  range ( n ): 	l = I (); 	 if  l [ 0 ]== 0 : r += 1 	 else : t +=[ set ( l [ 1 :])] i = 0 while  i < len ( t ): 	 for  j  in  t [ i + 1 :]: 		 if  t [ i ]& j : t [ i ]|= j ; t . remove ( j ); break 	 else : i += 1 print ( max ( 0 , len ( t )- 1 )+ r )"
278,278A - Circle Line,"I = lambda : list ( map ( int , input (). split ())) I () d =[ 0 ]+ I () s , t = sorted ( I ()) s = sum ( d [ s : t ]) print ( min ( sum ( d )- s , s ))"
279,279A - Point on Spiral,"x , y  =  map ( int , input (). split ()) if  y > x  and  x >=- y :   print ( y * 4 - 2 ) elif  y < x  and  x <=- y + 1 :   print (- y * 4 ) elif  y <= x  and  x >- y + 1 :   print ( x * 4 - 3 ) elif  y >= x  and  x <- y :   print (- 1 - 4 * x ) else :   print ( 0 )"
280,280A - Rectangle Puzzle,"#!/usr/bin/python3 from  math  import   *   w , h , alpha  =   [ int ( x )   for  x  in  input (). strip (). split ()]   if  alpha  >   90   :  alpha  =   180 - alpha if  w  <  h :  w , h  =  h , w   c  =  cos ( alpha * pi / 180.0 ) s  =  sin ( alpha * pi / 180.0 ) t  =  tan ( alpha * pi / 360.0 )   print ( h * h / s )   if  t  >  h / w  else   print (   ( w * h -( w * w + h * h )/ 2 * tan ( alpha * pi / 360.0 ))/( c )   )"
281,281A - Word Capitalization,s = input (); print ( s [ 0 ]. upper ()+ s [ 1 :])
282,282A - Bit++,print ( sum ( 44 - ord ( input ()[ 1 ]) for  i  in [ 0 ]* int ( input ())))
283,283A - Cows and Sequence,"n  =  int ( input ()) a ,  b  =   [ 0 ]   *   ( n  +   2 ),   [ 0 ]   *   ( n  +   2 ) s ,  l  =   0 ,   1 p  =   [ 0 ]   *  n for  i  in  range ( n ):     t  =  list ( map ( int ,  input (). split ()))      if  t [ 0 ]   ==   1 :         b [ t [ 1 ]   -   1 ]   +=  t [ 2 ]         s  +=  t [ 1 ]   *  t [ 2 ]      elif  t [ 0 ]   ==   2 :         a [ l ]   =  t [ 1 ]         l  +=   1         s  +=  t [ 1 ]      else :         l  -=   1         s  -=  a [ l ]   +  b [ l ]         b [ l  -   1 ]   +=  b [ l ]         b [ l ]   =   0     p [ i ]   =  str ( s  /  l ) print ( '\n' . join ( p ))"
284,284A - Cows and Primitive Roots,"import  math sol  =   0 p = int ( input ()) for  e  in  range ( 1 ,  p ):       if  math . gcd ( p - 1 ,  e )   ==   1 :  sol += 1 print ( sol )"
285,285A - Slightly Decreasing Permutations,"n , k = map ( int , input (). split ()) print (* range ( 1 , n - k ),* range ( n , n - 1 - k ,- 1 ))"
286,286A - Lucky Permutation,"n  =  int ( input ()) if  n % 4   >   1 :    print (- 1 ) else :   a  =   [ n + 1 >> 1 ]* n    for  i  in  range ( n // 4 ):     j  =  i * 2     a [ j ],  a [ j + 1 ],  a [- 2 - j ],  a [- 1 - j ]   =  j + 2 ,  n - j ,  j + 1 ,  n - 1 - j    print ( ' ' . join ( map ( str ,  a )))"
287,287A - IQ Test,"a = '' . join ([ input () for  _  in [ 0 ]* 4 ]) print ( 'YNEOS' [ all ([ a [ x ], a [ x + 1 ], a [ x + 4 ], a [ x + 5 ]]. count ( '.' )== 2   for  x  in [ 0 , 1 , 2 , 4 , 5 , 6 , 8 , 9 , 10 ]):: 2 ])"
288,288A - Polo the Penguin and Strings,"n , k = map ( int , input (). split ()) if  k > n  or  k == 1   and  n != 1 : print (- 1 ) else :     s =( ""ab"" *( n // 2 + 1 ))[: n ]      print ( s [:-( k - 2 )]+ '' . join ([ chr ( 97 + i )   for  i  in  range ( 2 , k )])   if  k > 2   else  s )"
289,289A - Polo the Penguin and Segments,"n ,  k  =  map ( int ,  input (). split ()) print (( sum ( int ( l )   -  int ( r )   for  l ,  r  in   [ input (). split ()   for  i  in  range ( n )])   -  n )   %  k )"
290,290A - Mysterious strings,"a  =   'Washington,Adams,Jefferson,Madison,Monroe,Adams,Jackson,Van Buren,Harrison,Tyler,Polk,Taylor,Fillmore,Pierce,Buchanan,Lincoln,Johnson,Grant,Hayes,Garfield,Arthur,Cleveland,Harrison,Cleveland,McKinley,Roosevelt,Taft,Wilson,Harding,Coolidge,Hoover,Roosevelt,Truman,Eisenhower,Kennedy,Johnson,Nixon,Ford,Carter,Reagan,Bush,Clinton' . split ( ',' ) print ( a [ int ( input ())- 1 ])"
291,291A - Spyke Talks,"a =[* open ( 0 )][ 1 ]. split () a =[ a . count ( x ) for  x  in   {* a }-{ '0' }] print ([ a . count ( 2 ),- 1 ][ max ( a +[ 0 ])> 2 ])"
292,292A - SMSC,"n  =  int ( input ()) a1 , a2  =   0 , 0 r  =   0 for  _  in  range ( n ):     b1 , b2  =  map ( int , input (). split ())     a2  =  max ( 0 , a2 -( b1 - a1 ))+ b2     r  =  max ( r , a2 )     a1  =  b1 print ( a1 + a2 , r )  "
293,293A - Weird Game,"n  =  int ( input ()) a ,  b  =  input (),  input () t  =   { i  +  j :   0   for  i  in   '01'   for  j  in   '01' } for  i  in  range ( 2   *  n ):  t [ a [ i ]   +  b [ i ]]   +=   1 d  =  t [ '11' ]   &   1 d  +=   ( t [ '10' ]   -  t [ '01' ]   +   1   -  d )   //   2 if  d  >   0 :  d  =   1 elif  d  <   0 :  d  =   2 print ([ 'Draw' ,   'First' ,   'Second' ][ d ])"
294,294A - Shaass and Oskols,"i = lambda :[* map ( int , input (). split ())] n = i ()[ 0 ]; a =[ 0 ]+ i ()+[ 0 ] for  _  in [ 0 ]* i ()[ 0 ]: x , y = i (); a [ x - 1 ]+= y - 1 ; a [ x + 1 ]+= a [ x ]- y ; a [ x ]= 0 print (* a [ 1 : n + 1 ], sep = '\n' )"
295,295A - Greg and Array,"from  sys  import  stdin ,  stdout   rd  =   lambda :  list ( map ( int ,  stdin . readline (). split ()))   n ,  m ,  k  =  rd () a  =  rd () b  =   [ rd ()   for  _  in  range ( m )] x  =   [ 0 ]*( m + 1 ) y  =   [ 0 ]*( n + 1 )   for  _  in  range ( k ):   l ,  r  =  rd ()   x [ l - 1 ]   +=   1   x [ r   ]   -=   1   s  =   0 for  i  in  range ( m ):   l ,  r ,  d  =  b [ i ]   s  +=  x [ i ]   y [ l - 1 ]   +=  s * d   y [ r   ]   -=  s * d   s  =   0 for  i  in  range ( n ):   s  +=  y [ i ]   a [ i ]   +=  s print ( ' ' . join ( map ( str ,  a )))"
296,296A - Yaroslav and Permutations,"n = int ( input ()) s = input (). split () print ( ""YES"" if  all ([ s . count ( i )* 2 - 1 <= n  for  i  in  s ]) else ""NO"" )"
297,297A - Parity Game,print ( 'YES'   if  input (). count ( '1' )+ 1 >> 1 << 1   >=  input (). count ( '1' )   else   'NO' )
298,298A - Snow Footprints,"I = input I () x = '.' + I () z = 'L' if  x . count ( 'R' ): z = 'R' a , b = x . find ( z ), x . rfind ( z ) if  z == 'L' : a , b = b , a - 1 else : b += 1 print ( a , b )"
299,299A - Ksusha and Array,"a = sorted ( map ( int ,[* open ( 0 )][ 1 ]. split ())) print ([ a [ 0 ],- 1 ][ any ( x % a [ 0 ]   for  x  in  a )])"
300,300A - Array,"( input ()) a = sorted ( map ( int , input (). split ())) b =[ a . pop ( 0 )] c = a [- 1 ]> 0   and   [ a . pop ()]   or   [ a . pop ( 0 ), a . pop ( 0 )] for  l  in  b , c , a :      print ( len ( l ),* l )"
301,301A - Yaroslav and Sequence,"n ,  t  =  int ( input ()),  list ( map ( int ,  input (). split ())) p  =  list ( map ( abs ,  t )) s  =  sum ( p ) if  n  &   1   ==   0   and  len ([ 0   for  i  in  t  if  i  <   0 ])   &   1 :  s  -=   2   *  min ( p ) print ( s )"
302,302A - Eugeny and Array,"I = lambda : map ( int , input (). split ()) n , m = I () x = sum ( x > 0   for  x  in  I ()) x = min ( x , n - x ) o =[] while  m :   l , r = I ()   o +=[[ 0 , 1 ][( r - l )% 2   and   ( r - l + 1 )// 2 <= x ]]   m -= 1 print (* o )"
303,303A - Lucky Permutation Triple,"n  =  int ( input ()) if  n  %   2   ==   0 :    print (- 1 ) else :    print (* range ( n ))    print (* range ( n ))    print (* map ( lambda  x :  x  *   2   %  n ,  range ( n )))"
304,304A - Pythagorean Theorem II,"from  math  import  gcd   n  =  int ( input ())   print ( sum ( n //( a * a + b * b )   for  a  in  range ( 2 ,   1 + int ( n **. 5 ))                         for  b  in  range ( 1 + a % 2 ,  a ,   2 )   if  gcd ( a , b )< 2 ))"
305,305A - Strange Addition,"n  =  int ( input ()) a  =  sorted ( list ( map ( int ,  input (). split ()))) b  =  set () for  x  in  a :      if  all ( all (( '%03d'   %  x )[ i ]   ==   '0'   or   ( '%03d'   %  t )[ i ]   ==   '0'   for  i  in  range ( 3 )) for  t  in  b ):         b . add ( x ) print ( len ( b )) print ( ' ' . join ( map ( str ,  b )))"
306,306A - Candies,"n , m = map ( int , input (). split ()) print (*[ n // m ]*( m - n % m )+[ n // m + 1 ]*( n % m ))"
311,311A - The Closest Pair,"n , k = map ( int , input (). split ()) if  k * 2 >=( n - 1 )* n : print ( 'no solution' ) else :[ print ( 0 , i ) for  i  in  range ( n )]"
312,312A - Whose sentence is it?,"I = input for  _  in ""0"" * int ( I ()): s = I (); a = s [- 5 :]== ""lala."" ; b = s [: 5 ]== ""miao."" ; print ([ ""Freda's"" , ""Rainbow's"" ][ b ] if  a ^ b  else ""OMG>.< I don't know!"" )"
313,313A - Ilya and Bank Account,"n = input (); print ( max ( map ( int ,( n , n [:- 1 ], n [:- 2 ]+ n [- 1 ]))))"
314,314A - Sereja and Contest,"f  =   lambda :  map ( int ,  input (). split ()) n ,  k  =  f () s  =  j  =   0 for  i ,  q  in  enumerate ( f (),   1 ):      if  s  -  j  *   ( n  -  i )   *  q  <  k :   print ( i )      else :         s  +=  q  *  j         j  +=   1"
315,315A - Sereja and Bottles,"n = int ( input ()) a =[] b =[] c =[ 1 ]* n for  i  in  range ( n ): 	x , y = map ( int , input (). split ()) 	a . append ( x ) 	b . append ( y ) for  i  in  range ( n ): 	 for  j  in  range ( n ): 		 if  a [ j ]== b [ i ]   and  i != j : 			c [ j ]= 0 print ( sum ( c ))"
317,317A - Perfect Pair,"x , y , m  =  map ( int , input (). split ()) if ( x  >  y ): 	x , y  =  y , x if ( y  >=  m ): 	 print ( '0' ) elif ( x + y  <=  x ): 	 print ( '-1' ) else : 	ans  =   ( y - x + y - 1 )// y 	x  +=  y * ans 	 while ( x  <  m ): 		x , y  =  x + y , x 		ans  +=   1 	 print ( ans )  "
318,318A - Even Odds,"n , k = map ( int , input (). split ()); t =( n + 1 )// 2 ; print ( 2 * k -[ 1 , 2 * t ][ k > t ])"
319,319A - Malek Dance Club,"s = input () a = int ( s , 2 ) n = len ( s ) print (( a *( 2 **( n - 1 )))% 1000000007 )  "
320,320A - Magic Numbers,"import  re print ( 'YES'   if  re . match ( r '(14?4?)*$' , input ())   else   'NO' )"
321,322C - Ciel and Robot,"import  re print ( 'YES'   if  re . match ( r '(14?4?)*$' , input ())   else   'NO' )"
322,322A - Ciel and Dancing,"n , m = map ( int , input (). split ()) print ( n + m - 1 ) for  i  in  range ( m ): print ( 1 , i + 1 ) for  i  in  range ( 2 , n + 1 ): print ( i , 1 )"
323,323A - Black-and-White Cube,"n = int ( input ()) print ([ ""\n"" . join ( ""\n"" . join ( """" . join ( ""b""   if   ( i // 2 + j // 2 + k )% 2   else   ""w""   for  j  in  range ( n ))   for  i  in  range ( n ))+ ""\n""   for  k  in  range ( n )),- 1 ][ n % 2 ])"
325,325A - Square and Rectangles,"n = int ( input ()) c =[[],[],[],[]] plos = 0   for  i  in  range ( n ):     q = list ( map ( int , input (). split ()))     plos +=( q [ 2 ]- q [ 0 ])*( q [ 3 ]- q [ 1 ])          for  j  in  range ( 4 ):         c [ j ]. append ( q [ j ])     fw =( max ( c [ 2 ])- min ( c [ 0 ])) fh =( max ( c [ 3 ])- min ( c [ 1 ]))   if ( fw == fh  and  fw * fh == plos ):      print ( ""YES"" ) else :      print ( ""NO"" )"
326,335A - Banana,"n = int ( input ()) c =[[],[],[],[]] plos = 0   for  i  in  range ( n ):     q = list ( map ( int , input (). split ()))     plos +=( q [ 2 ]- q [ 0 ])*( q [ 3 ]- q [ 1 ])          for  j  in  range ( 4 ):         c [ j ]. append ( q [ j ])     fw =( max ( c [ 2 ])- min ( c [ 0 ])) fh =( max ( c [ 3 ])- min ( c [ 1 ]))   if ( fw == fh  and  fw * fh == plos ):      print ( ""YES"" ) else :      print ( ""NO"" )"
327,327A - Flipping Game,"n = int ( input ()) * l ,= map ( int , input (). split ()) print ( max ( sum ( l )+ j - i - 2 * sum ( l [ i : j ]) for  i  in  range ( n ) for  j  in  range ( i + 1 , n + 1 )))"
